video_name,seq,new_finger_x,new_finger_y,new_thumb_x,new_thumb_y
OC01_R_10s_lowfps.mp4,img000.png,189.4350875,473.7531567,230.1252164,524.943964
OC01_R_10s_lowfps.mp4,img001.png,197.072768,473.3545455,229.2832882,521.0113909
OC01_R_10s_lowfps.mp4,img002.png,195.8119958,467.657582,229.9467998,523.2724909
OC01_R_10s_lowfps.mp4,img003.png,189.3242288,466.6577148,229.4847182,521.8783877
OC01_R_10s_lowfps.mp4,img004.png,190.169044,466.9750379,229.4314491,521.4357933
OC01_R_10s_lowfps.mp4,img005.png,191.1694755,469.0952078,229.1653513,524.8224924
OC01_R_10s_lowfps.mp4,img006.png,188.6759126,473.2063615,224.2365983,524.7080442
OC01_R_10s_lowfps.mp4,img007.png,187.3527667,478.7109277,229.631814,529.2109009
OC01_R_10s_lowfps.mp4,img008.png,191.7009716,469.1896218,231.1245712,523.3970713
OC01_R_10s_lowfps.mp4,img009.png,189.6609471,430.2091922,222.4755671,537.841146
OC01_R_10s_lowfps.mp4,img010.png,241.4676243,305.4735675,179.1543879,658.0752956
OC01_R_10s_lowfps.mp4,img011.png,262.3202734,296.853685,174.5267723,698.4010094
OC01_R_10s_lowfps.mp4,img012.png,264.4719914,288.184638,173.0976669,715.580672
OC01_R_10s_lowfps.mp4,img013.png,257.1360614,290.444817,172.8543004,713.2352902
OC01_R_10s_lowfps.mp4,img014.png,226.1920675,310.2395169,173.8786548,673.7506669
OC01_R_10s_lowfps.mp4,img015.png,193.8836792,457.0249543,222.5360238,529.3380144
OC01_R_10s_lowfps.mp4,img016.png,218.5617444,499.4978957,244.3528844,529.1577067
OC01_R_10s_lowfps.mp4,img017.png,223.1659781,484.2679973,245.2841834,518.0958407
OC01_R_10s_lowfps.mp4,img018.png,197.0656956,462.7680885,226.8867012,523.90115
OC01_R_10s_lowfps.mp4,img019.png,193.2095374,338.9871966,182.3807127,659.0391243
OC01_R_10s_lowfps.mp4,img020.png,248.1832918,263.3509941,190.1532268,692.7734748
